N,Triton,Torch (native),Torch (jit)
256.000000,682.666643,682.666643,356.173905
384.000000,768.000002,768.000002,409.600010
512.000000,712.347810,744.727267,431.157914
640.000000,758.518517,787.692317,465.454542
768.000000,847.448255,795.983841,489.988786
896.000000,868.848478,799.219505,511.999993
1024.000000,864.092264,799.219525,531.059060
1152.000000,837.818175,801.936084,534.260858
1280.000000,866.878314,819.200021,528.409614
1408.000000,866.461548,819.199994,536.380957
1536.000000,862.315773,805.770507,534.260858
1664.000000,872.918050,819.199998,527.207932
1792.000000,882.215382,819.199978,526.091741
1920.000000,876.540315,808.421089,516.302536
2048.000000,862.315828,819.200021,508.154108
2176.000000,870.400022,857.999235,508.262791
2304.000000,867.388239,847.448272,501.657645
2432.000000,884.363629,864.711098,487.065906
2560.000000,880.860193,862.315762,473.526030
2688.000000,886.762919,868.848510,464.951359
2816.000000,883.450996,874.873799,446.099020
2944.000000,888.754721,872.296295,438.431633
3072.000000,885.621612,862.315773,427.408686
3200.000000,881.215538,860.504226,417.959179
3328.000000,887.466689,865.821101,411.181478
3456.000000,891.870980,864.210944,402.152729
3584.000000,896.000002,868.848478,391.489281
3712.000000,893.112822,867.036525,381.942109
3840.000000,890.434763,865.352086,381.614898
3968.000000,900.539028,869.698596,375.668625
4096.000000,897.753389,885.247742,373.424507
4224.000000,889.263197,876.646966,367.304340
4352.000000,892.717980,875.874198,364.565447
4480.000000,896.000023,879.509180,361.108316
4608.000000,899.121966,882.970030,357.902918
4736.000000,902.095245,881.116279,354.922723
4864.000000,899.699458,879.367259,352.144805
4992.000000,902.508503,878.468490,350.339797
5120.000000,900.761144,885.173030,348.595745
5248.000000,902.881697,879.246077,346.975214
5376.000000,900.691103,882.215382,344.753496
5504.000000,903.220510,880.640022,344.673196
5632.000000,904.511903,887.802941,343.938949
5760.000000,903.529428,881.913853,343.790393
5888.000000,905.846164,884.582132,341.952810
6016.000000,903.812178,887.152101,341.333341
6144.000000,901.871555,889.628980,335.508544
6272.000000,904.072062,892.017793,339.600666
6400.000000,902.202656,890.434763,338.032263
6528.000000,900.413771,888.919151,337.456304
6656.000000,898.937485,887.466689,335.949529
6784.000000,904.533356,889.704935,336.049551
6912.000000,902.791826,888.289141,335.127263
7040.000000,904.738940,890.434763,334.739969
7168.000000,906.624486,892.079700,334.855486
7296.000000,904.930283,891.114549,334.861904
7424.000000,903.300399,889.767804,333.662918
7552.000000,905.108628,891.235201,332.412652
7680.000000,903.529396,887.220173,331.659921
7808.000000,902.007175,886.014204,331.374015
7936.000000,903.743817,887.944072,330.666655
8064.000000,902.265750,886.762875,328.723574
8192.000000,903.993557,891.646266,304.387251
8320.000000,901.791998,890.434763,304.274276
8448.000000,899.527098,892.197996,304.111368
8576.000000,902.551280,891.013022,304.586018
8704.000000,898.477410,892.717980,304.735238
8832.000000,900.076420,888.754701,304.551717
8960.000000,901.635204,887.678058,305.021277
9088.000000,903.155259,889.345601,305.479000
9216.000000,899.721994,890.972841,305.291919
9344.000000,903.347464,889.904769,305.436459
9472.000000,901.592082,888.868019,306.407468
9600.000000,902.948489,887.861307,305.976107
9728.000000,899.618187,891.965593,305.791763
9856.000000,901.120032,890.937881,306.792237
9984.000000,902.189931,889.938724,306.316387
10112.000000,899.273802,891.415980,306.714692
10240.000000,901.535563,892.861034,306.816484
10368.000000,904.021797,892.658370,306.915828
10496.000000,901.102802,892.831373,307.012812
10624.000000,901.771909,892.304484,307.107485
10752.000000,900.691103,891.754548,307.199992
10880.000000,901.968913,891.360913,307.561836
11008.000000,903.220510,891.787319,307.647165
11136.000000,902.156939,890.393037,307.241383
11264.000000,903.378420,889.995064,307.569998
11392.000000,902.336653,887.238180,307.713220
11520.000000,903.079846,890.434763,307.712844
11648.000000,900.600405,888.855475,307.791901
11776.000000,903.673855,890.724172,307.806425
11904.000000,902.672960,888.980157,308.030636
12032.000000,901.695568,884.286791,307.657722
12160.000000,904.141761,882.358255,307.870936
12288.000000,903.620245,885.621612,308.162996
12416.000000,902.981811,884.881933,307.993788
12544.000000,904.072062,884.737110,308.301071
12672.000000,905.142845,885.379922,308.133737
